CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031500202734001QW0F;19/06/2022;1;0,235;;;R
ES0031500202734001QW0F;19/06/2022;2;0,201;;;R
ES0031500202734001QW0F;19/06/2022;3;0,174;;;R
ES0031500202734001QW0F;19/06/2022;4;0,147;;;R
ES0031500202734001QW0F;19/06/2022;5;0,169;;;R
ES0031500202734001QW0F;19/06/2022;6;0,155;;;R
ES0031500202734001QW0F;19/06/2022;7;0,146;;;R
ES0031500202734001QW0F;19/06/2022;8;0,142;;;R
ES0031500202734001QW0F;19/06/2022;9;0,362;;;R
ES0031500202734001QW0F;19/06/2022;10;0,575;;;R
ES0031500202734001QW0F;19/06/2022;11;0,572;;;R
ES0031500202734001QW0F;19/06/2022;12;0,198;;;R
ES0031500202734001QW0F;19/06/2022;13;0,146;;;R
ES0031500202734001QW0F;19/06/2022;14;0,31;;;R
ES0031500202734001QW0F;19/06/2022;15;0,177;;;R
ES0031500202734001QW0F;19/06/2022;16;0,191;;;R
ES0031500202734001QW0F;19/06/2022;17;0,23;;;R
ES0031500202734001QW0F;19/06/2022;18;0,429;;;R
ES0031500202734001QW0F;19/06/2022;19;0,406;;;R
ES0031500202734001QW0F;19/06/2022;20;0,306;;;R
ES0031500202734001QW0F;19/06/2022;21;0,465;;;R
ES0031500202734001QW0F;19/06/2022;22;0,913;;;R
ES0031500202734001QW0F;19/06/2022;23;0,408;;;R
ES0031500202734001QW0F;19/06/2022;24;0,391;;;R
ES0031500202734001QW0F;20/06/2022;1;0,59;;;R
